eCalc  -  Multicopter Calculator                    all data without guarantee - Accuracy:  /-15%


Project Name;;Lakitu;Lakitu;

Battery;;custom;custom;
Configuration:;;6S8P;6S8P;
Load:;C;3.87;3.20;
Voltage:;V;21.58;21.69;
Rated Voltage:;V;22.20;22.20;
Energy:;Wh;1074.48;1074.48;
Total Capacity:;mAh;48400;48400;
max. discharge:;;85%;85%;
Used Capacity:;mAh;41140;41140;
min. Flight Time:;min;13.2;15.9;
Mixed Flight Time:;min;27.7;25.6;
Hover Flight Time:;min;31.3;28.0;
Weight:;g;5760;5760;
;oz;203.2;203.2;


Controller;;CC Thunderbird 36;CC Thunderbird 36;
Current:;A cont.;36;36;
;A max;36;36;
Weight:;g;20;20;
;oz;0.7;0.7;


Accessories;;
Current drain:;A;0;0;
Weight:;g;0;0;
;oz;0;0;


Motor @ Maximum;;MultiStar 4114-320 (320);MultiStar 4114-320 (320);
Gear Ratio:;: 1;1;1;
Weight:;g;148;148;
;oz;5.2;5.2;
Current:;A;23.41;19.36;
Voltage:;V;21.39;21.53;
Revolutions*:;rpm;5821;6043;
electric Power:;W;500.9;417.0;
mech. Power:;W;403.0;341.2;
Efficiency:;%;80.5;81.8;
est. Temperature:;°C;66;57;
;°F;151;135;


Motor @ Hover
Propeller;;APC SlowFly SF (0°)  17" x 6";APC SlowFly SF (0°)  15" x 7.5";
# Blades:;;2;2;
avail.Thrust @ ;@;
;@;
Current:;A;9.84;11.03;
Voltage:;V;21.86;21.82;
Revolutions*:;rpm;3912;4474;
Throttle (log):;%;53;65;
Throttle (linear):;%;65;73;
Power-Weight:;W/kg;159.5;178.7;
;W/lb;72.3;81.1;
Efficiency:;%;80.0;81.1;
specific Thrust:;g/W;6.37;5.69;
;oz/W;0.22;0.2;
est. Temperature:;°C;43;44;
;°F;109;111;


Total Drive;;
Drive Weight:;g;7814;7814;
;oz;275.6;275.6;
Power-Weight:;W/kg;365.6;304.4;
;W/lb;165.8;138.1;
Thrust-Weight:;: 1;1.7;1.4;
Current @ Hover:;A;78.76;88.22;
P(in) @ Hover:;W;1748.4;1958.4;
P(out) @ Hover:;W;1378.0;1561.8;
Efficiency @ Hover:;%;78.8;79.7;
Current @ max:;A;187.30;154.92;
P(in) @ max:;W;4158.1;3439.1;
P(out) @ max:;W;3224.4;2729.3;
Efficiency @ max:;%;77.5;79.4;


Multicopter
# of Rotors:;;8 - flat;8 - flat;
All-up Weight:;g;10960;10960;
;oz;386.6;386.6;
add. Payload:;g;5478;2524;
;oz;193.2;89;
max Tilt:;°;48;36;
max. Speed:;km/h;32;32;
;mph;19.9;19.9;
est. rate of climb:;m/s;4.6;3.7;
;ft/min;906;728;
Total Disc Area:;dm²;117.15;91.21;
;in²;1815.83;1413.76;
with Rotor fail:;;resistent;controlable;


Remarks:;;0;0;



(c) by Solution for All   -   7.111, 20.6.18
