eCalc  -  Multicopter Calculator                    all data without guarantee - Accuracy:  /-15%


Project Name;;Lakitu;Lakitu;Lakitu;

Battery;;custom;custom;custom;
Configuration:;;6S8P;6S8P;6S8P;
Load:;C;3.87;3.20;3.28;
Voltage:;V;21.58;21.69;21.68;
Rated Voltage:;V;22.20;22.20;22.20;
Energy:;Wh;1074.48;1074.48;1074.48;
Total Capacity:;mAh;48400;48400;48400;
max. discharge:;;85%;85%;85%;
Used Capacity:;mAh;41140;41140;41140;
min. Flight Time:;min;13.2;15.9;15.5;
Mixed Flight Time:;min;27.7;25.6;27.0;
Hover Flight Time:;min;31.3;28.0;29.8;
Weight:;g;5760;5760;5760;
;oz;203.2;203.2;203.2;


Controller;;CC Thunderbird 36;CC Thunderbird 36;CC Thunderbird 36;
Current:;A cont.;36;36;36;
;A max;36;36;36;
Weight:;g;20;20;20;
;oz;0.7;0.7;0.7;


Accessories;;
Current drain:;A;0;0;0;
Weight:;g;0;0;0;
;oz;0;0;0;


Motor @ Maximum;;MultiStar 4114-320 (320);MultiStar 4114-320 (320);MultiStar 4114-320 (320);
Gear Ratio:;: 1;1;1;1;
Weight:;g;148;148;148;
;oz;5.2;5.2;5.2;
Current:;A;23.41;19.36;19.84;
Voltage:;V;21.39;21.53;21.52;
Revolutions*:;rpm;5821;6043;6017;
electric Power:;W;500.9;417.0;427.0;
mech. Power:;W;403.0;341.2;348.8;
Efficiency:;%;80.5;81.8;81.7;
est. Temperature:;°C;66;57;58;
;°F;151;135;136;


Motor @ Hover
Propeller;;APC SlowFly SF (0°)  17" x 6";APC SlowFly SF (0°)  15" x 7.5";APC SlowFly SF (0°)  16" x 6";
# Blades:;;2;2;2;
avail.Thrust @ ;@;
;@;
Current:;A;9.84;11.03;10.34;
Voltage:;V;21.86;21.82;21.84;
Revolutions*:;rpm;3912;4474;4328;
Throttle (log):;%;53;65;61;
Throttle (linear):;%;65;73;71;
Power-Weight:;W/kg;159.5;178.7;167.5;
;W/lb;72.3;81.1;76;
Efficiency:;%;80.0;81.1;81.0;
specific Thrust:;g/W;6.37;5.69;6.07;
;oz/W;0.22;0.2;0.21;
est. Temperature:;°C;43;44;43;
;°F;109;111;109;


Total Drive;;
Drive Weight:;g;7814;7814;7814;
;oz;275.6;275.6;275.6;
Power-Weight:;W/kg;365.6;304.4;311.7;
;W/lb;165.8;138.1;141.4;
Thrust-Weight:;: 1;1.7;1.4;1.5;
Current @ Hover:;A;78.76;88.22;82.72;
P(in) @ Hover:;W;1748.4;1958.4;1836.3;
P(out) @ Hover:;W;1378.0;1561.8;1464.2;
Efficiency @ Hover:;%;78.8;79.7;79.7;
Current @ max:;A;187.30;154.92;158.75;
P(in) @ max:;W;4158.1;3439.1;3524.4;
P(out) @ max:;W;3224.4;2729.3;2790.4;
Efficiency @ max:;%;77.5;79.4;79.2;


Multicopter
# of Rotors:;;8 - flat;8 - flat;8 - flat;
All-up Weight:;g;10960;10960;10960;
;oz;386.6;386.6;386.6;
add. Payload:;g;5478;2524;3340;
;oz;193.2;89;117.8;
max Tilt:;°;48;36;40;
max. Speed:;km/h;32;32;28;
;mph;19.9;19.9;17.4;
est. rate of climb:;m/s;4.6;3.7;3.5;
;ft/min;906;728;689;
Total Disc Area:;dm²;117.15;91.21;103.77;
;in²;1815.83;1413.76;1608.44;
with Rotor fail:;;resistent;controlable;controlable;


Remarks:;;0;0;0;



(c) by Solution for All   -   7.111, 20.6.18
