apcsf,11,4.7,-0.0171455807,-0.0392040247,-0.0138297192,0.0472451179
grcp,10,6,0.0087637446,-0.1261429346,0.0489072783,0.0385678757
gwssf,10,8,0.1022174573,-0.2257610104,0.0513660528,0.0696504416
apcsp,11,8,0.0164225579,-0.1687736584,0.0982684183,0.0499663623
kavfk,11,6,-0.0500248375,-0.0367111217,-0.0067461315,0.0457853129
apcsp,10,9,-0.0705509821,0.0033214939,0.0095074887,0.0807276515
mas,11,7,0.0114683082,-0.107341243,0.0303587013,0.0433671467
zin,11,7,-0.018899311,-0.0699550538,0.015196946,0.0431874898
kyosho,9,6,0.0523876533,-0.1913572014,0.0774816426,0.0447407572
mas,9,5,-0.0610036718,-0.0189139343,0.0010112391,0.0412244265
apcsp,8,8,-0.0510312171,-0.0089187834,0.0189682891,0.086897446
grsn,11,8,0.1029418801,-0.3036180181,0.1288114508,0.0445369561
kavfk,9,6,0.0272971246,-0.1740356206,0.0706525967,0.0514901719
gwssf,10,4.7,0.0036788857,-0.0587905384,-0.0212138761,0.0568968325
apcsp,11,9,-0.0442665536,-0.0787910647,0.0724186093,0.0606125247
apcsp,10,5,0.1036580127,-0.2396187833,0.0769042416,0.0377291754
ma,9,8,-0.1049513785,0.0028479668,0.0487339262,0.0555625283
apcsp,8,7,-0.0019433124,-0.1280476582,0.0818225204,0.057526916
grcp,11,4,-0.0995486966,0.0156261361,-0.0183140598,0.0245501369
ma,11,9,-0.1012226449,-0.0042043799,0.0396774265,0.049895292
apce,8,8,-0.087485776,0.072564318,-0.0430273082,0.114332484
apcsp,11,5,0.0953467144,-0.2179049247,0.0635368466,0.0360074335
kyosho,10,6,-0.0691607296,-0.0337591393,0.0172297744,0.0492096262
grsn,9,6,0.1355469691,-0.3226315955,0.1218981258,0.0495656578
apce,9,4.5,0.0852852399,-0.1816818392,0.0358887443,0.0386729576
apce,14,12,0.0761254264,-0.2672399105,0.1599662008,0.0312333184
grcp,10,8,-0.0317252826,-0.0722414176,0.0455828409,0.053382836
grcp,9,6,0.0186618871,-0.143591122,0.0583062433,0.042296061
apce,9,6,0.1280784091,-0.3016024244,0.1203023913,0.0415231986
kavfk,11,7.75,0.036782736,-0.1543934562,0.0465558922,0.0543461637
apce,11,5.5,0.085289132,-0.1688220546,0.0327934127,0.0319402132
gwssf,11,8,0.0893818376,-0.1999036418,0.0293687282,0.0735778017
apc29ff,9,5,0.1487479381,-0.3283823021,0.1276903404,0.0322840402
apcsp,7,9,-0.1129237087,0.1720273029,-0.108955674,0.1396021066
apce,9,7.5,-0.0114565343,-0.0969621259,0.0475199772,0.0728119814
magf,9,5,0.0426128061,-0.1824100315,0.0666612065,0.0360419438
ma,9,4,-0.1036604058,-0.0249723238,0.0051854099,0.0307480708
apce,10,7,0.0664737633,-0.2268952392,0.1045189019,0.0417894395
mas,11,6,-0.0026477602,-0.0970002587,0.0318746427,0.0378734264
ance,8.5,6,0.0033283826,-0.1523225448,0.0780396702,0.0440575015
ma,11,6,0.0136333007,-0.1731672026,0.0691210722,0.0320896835
mae,10,7,0.0254743534,-0.1417597376,0.0742292877,0.0582550178
grsn,9,4,0.0143843584,-0.1134092249,0.0138438978,0.0376711991
apcsp,10,8,-0.0317453446,-0.1075112062,0.0789994957,0.0547684465
apce,8,4,-0.0125228775,-0.0537979184,-0.0062067359,0.0430678668
apcsf,11,3.8,-0.026885667,-0.0147733711,-0.0152190979,0.0336463425
apcsp,9,8,-0.0426269587,-0.0375505137,0.023292257,0.0730373375
apcsp,10,4,0.0457501864,-0.1409548436,0.0259901756,0.0349696394
